Date,Month,Day,Year,TB10YRS
4/1/1978,4,1,1978,8.154
5/1/1978,5,1,1978,8.345714286
6/1/1978,6,1,1978,8.462272727
7/1/1978,7,1,1978,8.64
8/1/1978,8,1,1978,8.410869565
9/1/1978,9,1,1978,8.4165
10/1/1978,10,1,1978,8.642380952
11/1/1978,11,1,1978,8.805
12/1/1978,12,1,1978,9.0065
1/1/1979,1,1,1979,9.099545455
2/1/1979,2,1,1979,9.098333333
3/1/1979,3,1,1979,9.117272727
4/1/1979,4,1,1979,9.182
5/1/1979,5,1,1979,9.252380952
6/1/1979,6,1,1979,8.913809524
7/1/1979,7,1,1979,8.95
8/1/1979,8,1,1979,9.029565217
9/1/1979,9,1,1979,9.334736842
10/1/1979,10,1,1979,10.29909091
11/1/1979,11,1,1979,10.65315789
12/1/1979,12,1,1979,10.386
1/1/1980,1,1,1980,10.80227273
2/1/1980,2,1,1980,12.41473684
3/1/1980,3,1,1980,12.74904762
4/1/1980,4,1,1980,11.47333333
5/1/1980,5,1,1980,10.18142857
6/1/1980,6,1,1980,9.778095238
7/1/1980,7,1,1980,10.24772727
8/1/1980,8,1,1980,11.10190476
9/1/1980,9,1,1980,11.50857143
10/1/1980,10,1,1980,11.75136364
11/1/1980,11,1,1980,12.68470588
12/1/1980,12,1,1980,12.84409091
1/1/1981,1,1,1981,12.56857143
2/1/1981,2,1,1981,13.19444444
3/1/1981,3,1,1981,13.11590909
4/1/1981,4,1,1981,13.67952381
5/1/1981,5,1,1981,14.0995
6/1/1981,6,1,1981,13.47227273
7/1/1981,7,1,1981,14.28090909
8/1/1981,8,1,1981,14.93714286
9/1/1981,9,1,1981,15.32380952
10/1/1981,10,1,1981,15.14809524
11/1/1981,11,1,1981,13.39277778
12/1/1981,12,1,1981,13.72454545
1/1/1982,1,1,1982,14.594
2/1/1982,2,1,1982,14.42555556
3/1/1982,3,1,1982,13.86130435
4/1/1982,4,1,1982,13.87190476
5/1/1982,5,1,1982,13.6225
6/1/1982,6,1,1982,14.29954545
7/1/1982,7,1,1982,13.94619048
8/1/1982,8,1,1982,13.055
9/1/1982,9,1,1982,12.33904762
10/1/1982,10,1,1982,10.9065
11/1/1982,11,1,1982,10.55052632
12/1/1982,12,1,1982,10.54
1/1/1983,1,1,1983,10.45714286
2/1/1983,2,1,1983,10.72473684
3/1/1983,3,1,1983,10.50652174
4/1/1983,4,1,1983,10.4
5/1/1983,5,1,1983,10.38
6/1/1983,6,1,1983,10.84863636
7/1/1983,7,1,1983,11.377
8/1/1983,8,1,1983,11.84608696
9/1/1983,9,1,1983,11.65380952
10/1/1983,10,1,1983,11.541
11/1/1983,11,1,1983,11.69
12/1/1983,12,1,1983,11.82952381
1/1/1984,1,1,1984,11.67428571
2/1/1984,2,1,1984,11.84210526
3/1/1984,3,1,1984,12.31909091
4/1/1984,4,1,1984,12.6335
5/1/1984,5,1,1984,13.40863636
